"Engine","Account","Cost","Clicks","Impr","Engagement Actions","Avg pos","Quality score (avg)"
"Bing Ads","Bayer Prevention - Bing","110292.75","65125","2944621","883","2.3124874504623514","8.4885821596244131"
"Bing Ads","Alka Seltzer Original - Bing","57033.27","23222","1001667","4384","1.8672155339805825","8.8171304347826087"
"Google AdWords","RID - Google","77701.39","37899","829506","368","1.3435955649419219","5.7919533527696793"
"Google AdWords","Claritin Adults - Google","1087055.50","412900","12227085","20488","1.7124526147522265","5.4408947612424664"
"Bing Ads","Mirena - Bing","228488.19","66251","2620880","","1.5695046968403074","8.2736933599316044"
"Bing Ads","Claritin Adults - Bing","556003.79","215814","6468060","5682","1.9630567431014380","8.9227763546798030"
"Google AdWords","Trubiotics - Google","316211.09","161831","5840180","5590","1.8398923444976077","7.4396763959390863"
"Bing Ads","Coppertone WaterBabies - Bing","0.00","0","0","0","",""
"Google AdWords","Alka Selzter Plus - Google","207779.81","99647","2411623","8243","1.9272585482903419","5.2002064359441409"
"Google AdWords","Claritin Hispanic - Google","114862.56","39104","526101","209","1.2552334851936219","5.6982625000000000"
"Yahoo Gemini","Aleve - Yahoo","26931.68","18484","506894","848","1.8188483284169125",""
"Yahoo Gemini","Aleve TENS - Yahoo","15460.75","9947","403385","432","1.4917915632754342",""
